Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Mmus_C57-6J_LVR_FLT_C_Rep1_M25_raw	9.333333333333343	44.0	50.0	18.181818181818183	300.0
Mmus_C57-6J_LVR_FLT_C_Rep2_M26_raw	13.333333333333329	42.0	50.0	27.27272727272727	300.0
Mmus_C57-6J_LVR_FLT_C_Rep3_M27_raw	7.333333333333343	46.0	50.0	18.181818181818183	300.0
Mmus_C57-6J_LVR_FLT_C_Rep4_M28_raw	11.666666666666671	45.0	50.0	27.27272727272727	300.0
Mmus_C57-6J_LVR_FLT_C_Rep5_M30_raw	9.0	45.0	50.0	18.181818181818183	300.0
Mmus_C57-6J_LVR_FLT_I_Rep1_M21_raw	6.666666666666671	48.0	50.0	27.27272727272727	300.0
Mmus_C57-6J_LVR_FLT_I_Rep2_M22_raw	6.333333333333329	49.0	50.0	18.181818181818183	300.0
Mmus_C57-6J_LVR_GC_C_Rep1_M36_raw	11.0	45.0	50.0	18.181818181818183	300.0
Mmus_C57-6J_LVR_GC_C_Rep2_M37_raw	10.0	46.0	50.0	18.181818181818183	300.0
Mmus_C57-6J_LVR_GC_C_Rep3_M38_raw	9.333333333333343	46.0	50.0	27.27272727272727	300.0
Mmus_C57-6J_LVR_GC_C_Rep4_M39_raw	9.0	46.0	50.0	18.181818181818183	300.0
Mmus_C57-6J_LVR_GC_C_Rep5_M40_raw	7.666666666666671	46.0	50.0	18.181818181818183	300.0
Mmus_C57-6J_LVR_GC_I_Rep1_M31_raw	7.666666666666671	47.0	50.0	9.090909090909092	300.0
Mmus_C57-6J_LVR_GC_I_Rep2_M32_raw	9.666666666666671	49.0	50.0	18.181818181818183	300.0
