Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Mmus_C57-6J_LVR_FLT_C_Rep1_M25_raw	Mmus_C57-6J_LVR_FLT_C_Rep1_M25_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	44.0	90.66666666666666	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
Mmus_C57-6J_LVR_FLT_C_Rep2_M26_raw	Mmus_C57-6J_LVR_FLT_C_Rep2_M26_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	42.0	86.66666666666667	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep3_M27_raw	Mmus_C57-6J_LVR_FLT_C_Rep3_M27_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	46.0	92.66666666666666	50.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep4_M28_raw	Mmus_C57-6J_LVR_FLT_C_Rep4_M28_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	45.0	88.33333333333333	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep5_M30_raw	Mmus_C57-6J_LVR_FLT_C_Rep5_M30_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	45.0	91.0	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
Mmus_C57-6J_LVR_FLT_I_Rep1_M21_raw	Mmus_C57-6J_LVR_FLT_I_Rep1_M21_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	93.33333333333333	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_FLT_I_Rep2_M22_raw	Mmus_C57-6J_LVR_FLT_I_Rep2_M22_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	49.0	93.66666666666667	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
Mmus_C57-6J_LVR_GC_C_Rep1_M36_raw	Mmus_C57-6J_LVR_GC_C_Rep1_M36_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	45.0	89.0	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
Mmus_C57-6J_LVR_GC_C_Rep2_M37_raw	Mmus_C57-6J_LVR_GC_C_Rep2_M37_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	46.0	90.0	50.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_GC_C_Rep3_M38_raw	Mmus_C57-6J_LVR_GC_C_Rep3_M38_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	46.0	90.66666666666666	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_GC_C_Rep4_M39_raw	Mmus_C57-6J_LVR_GC_C_Rep4_M39_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	46.0	91.0	50.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_GC_C_Rep5_M40_raw	Mmus_C57-6J_LVR_GC_C_Rep5_M40_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	46.0	92.33333333333333	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
Mmus_C57-6J_LVR_GC_I_Rep1_M31_raw	Mmus_C57-6J_LVR_GC_I_Rep1_M31_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	92.33333333333333	50.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
Mmus_C57-6J_LVR_GC_I_Rep2_M32_raw	Mmus_C57-6J_LVR_GC_I_Rep2_M32_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	49.0	90.33333333333333	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
