Total Reads                   35
Total Tags                    35
Total Assigned Tags           33
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1165257             0                   0.00              
5'UTR_Exons         918425              0                   0.00              
3'UTR_Exons         1620350             5                   0.00              
Introns             28603176            23                  0.00              
TSS_up_1kb          863962              0                   0.00              
TSS_up_5kb          3780144             4                   0.00              
TSS_up_10kb         6485408             4                   0.00              
TES_down_1kb        881642              0                   0.00              
TES_down_5kb        3669485             0                   0.00              
TES_down_10kb       6348496             1                   0.00              
=====================================================================
